id,time_stamp,created_at,author,favourite_count,re_tweeet_count,text,original_tweet_id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,iso_language_code,source,user_id,conversation_id,stake_holder,
		"12796","2014-02-11 14:47:49.471","2014-02-11","edintravel","0","1","low temps & wintry showers expected overnight. Squads will be treating all priority 1 roads & priority pavements from 5pm #edintravel","433247733315825664","","-1","-1","en","<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>","141165868","","t",
		"17758","2014-02-12 11:23:20.855","2014-02-12","yoloswagins1","0","2","Why does scotrail find it acceptable to try fix all these on going "overhead line problems" during the busiest time of the morning? #fannys","433543967905681408","","-1","-1","en","Twitter for Android","785619500","","f",
		"23816","2014-02-13 09:06:49.079","2014-02-13","edintravel","0","1","MT @taxim777: @edintravel bus broken down henderson gdns causing delays #edintravel","386098896105394176","","-1","-1","en","<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>","141165868","","t",
		"24373","2014-02-13 11:39:16.89","2014-02-13","LothianLoop","1","1","Who is excited for the Haddington - Wallyford X1 Rail link starting on 10 Feb? More info: http://t.co/Dp1SSzVKgI","424187969138741248","","-1","-1","en","Web","544600129","","f",
		"24453","2014-02-13 11:56:04.124","2014-02-13","ScotRail","0","1","We are! Great scheme >> @LothianLoop  Who is excited for the Haddington - Wallyford X1 Rail link starting on 10 Feb? http://t.co/fHwo2MtsaR","433928222732869632","LothianLoop","424187969138741248","544600129","en","Web","61569136","","t",
		"24909","2014-02-13 14:06:34.765","2014-02-13","Mackinnon25","2","1","Apparently I'm not getting a refund for the sleeper that was over 300 minutes late to inverness this morning? @scotrail @nationalrailenq","433962693327081472","","-1","-1","en","Twitter for iPhone","90229048","","f",
		"25022","2014-02-13 14:32:48.893","2014-02-13","ScotRail","0","1","@Mackinnon25 @nationalrailenq Hi again. OK I have had this checked and we will be looking into this further due to the severe disruption.","433966909613420544","Mackinnon25","433965472951074816","90229048","en","<a href="http://www.conversocial.com" rel="nofollow">Conversocial</a>","61569136","","t",
		"25400","2014-02-13 16:03:37.415","2014-02-13","HI_Voices","0","2","Rest-bite???
RT @trafficscotland A wee bit rest-bite for some with the snow. Current warnings til 23:45 http://t.co/vpjvzu0FeR","433990407094304768","","-1","-1","en","<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>","1894387916","","f",
		"25507","2014-02-13 16:27:05.161","2014-02-13","tamcrock","0","1","Keeping a close eye on the ScotRail live train information. Fingers crossed it'll be square sausage and tattie scones for breakfast in...","433993123157786625","","-1","-1","en","<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>","221005676","","f",
		"26312","2014-02-13 20:23:33.629","2014-02-13","ScotRail","0","1","@skeen74 @DonsTalk We’re working with Abd + Inv FCs to put on +tra services for fans travelling to/from League Cup Final. We’ll update asap.","434059072183468032","skeen74","434056189727748096","131197061","en","Conversocial - http://www.conversocial.com","61569136","","t",
		"26750","2014-02-14 10:50:24.721","2014-02-14","trafficscotland","1","1","#TSCams - The #A9 at Drumochter looking pretty slushy still. Don't forget the Snow Warnings valid from 12pm. http://t.co/N2j4WrKp8c","434277799184957442","","-1","-1","en","Sprout Social - http://sproutsocial.com","20106985","","t",
		"28444","2014-02-14 16:13:40.177","2014-02-14","MattButcherEA","0","2","Rivers in #Essex are responding to today's rain.  Expect some #flood alerts in the next few hours. http://t.co/wyK9Goyl8Y","434358558591696897","","-1","-1","en","Web","156907478","28444","f",
		"29205","2014-02-14 16:30:08.686","2014-02-14","NotAGateway","0","1","1min 56sec http://t.co/KDX8aWGeCX Money Is No Object","434361152940695552","","-1","-1","en","Web","56350320","29205","f",
		"29964","2014-02-14 16:52:17.658","2014-02-14","MPSonthewater","2","3","Helping local volunteers to build up the sandbags at an elderly couples home in Egham http://t.co/Y8Ieytb88d","434368032719523840","","-1","-1","en","iOS","882100777","29964","f",
		"30177","2014-02-14 16:55:54.656","2014-02-14","RichardWellings","0","3","Somerset had serious flooding in 1854, 1872-3 and 1929-30, no doubt due to "extreme weather" caused by climate change http://t.co/EIgkuak0hY","434368515790102528","","-1","-1","en","TweetDeck","71280219","30177","f",
		"30417","2014-02-14 17:00:05.669","2014-02-14","SeanBattySTV","4","4","Horrible travelling conditions this evening esp on high level routes with blizzards & drifting snow. @trafficscotland have latest info.","434369737418477569","","-1","-1","en","Web","44915406","30417","f",
		"31749","2014-02-14 17:31:48.632","2014-02-14","paulmasonnews","9","15","Battered by storms I cling to science. http://t.co/NrnSvhUqgh","434373519993212928","","-1","-1","en","Twitter for iPhone","19811190","31749","f",
