id,time_stamp,created_at,author,favourite_count,re_tweeet_count,text,original_tweet_id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,iso_language_code,source,user_id,conversation_id,stake_holder,
		"38583","2014-02-14 22:00:22.666","2014-02-14","yokoono","225","283","Feel that love, every day. Feel it and give to yourself and to others around you.","434444439486877698","","-1","-1","en","Sprout Social - http://sproutsocial.com","17681513","38583","f",
		"45859","2014-02-15 08:33:35.381","2014-02-15","HistoryInPics","1034","733","Rowing on the streets of Paris after the Seine River flooded, c. 1910. http://t.co/NHOamOY2Bi","434487993836240896","","-1","-1","en","<a href="http://bufferapp.com" rel="nofollow">Buffer</a>","1582853809","45859","f",
		"58830","2014-02-15 23:50:53.21","2014-02-15","arjenUK","115","339","What a pic! The crypt of Winchester Cathedral flooded. #floods http://t.co/e0WptzeAsg","434261251028705280","","-1","-1","en","Twitter for iPhone","106122686","58830","f",
		"70309","2014-02-17 09:11:10.928","2014-02-17","BBCNews","47","131","Coastal communities in Wales face being abandoned amid rising sea levels, BBC reveals http://t.co/PzZGYIweiW http://t.co/awyx8f34bv","433135878425153536","","-1","-1","en","TweetDeck","612473","70309","f",
		"75090","2014-02-17 14:30:54.073","2014-02-17","Burberry","1285","1431","British musician @Harry_Styles arrives at the #Burberry Prorsum A/W14 show #LFW http://t.co/46lITdxEYO","435412484443619328","","-1","-1","en","Twitter for iPhone","47459700","75090","f",
		"74987","2014-02-17 14:30:53.201","2014-02-17","Burberry","194","114","The Bloomsbury bag on the #Burberry A/W14 runway #LFW http://t.co/fZ1r9yNqao","435417129790476288","","-1","-1","en","Twitter for iPhone","47459700","74987","f",
		"75054","2014-02-17 14:30:53.759","2014-02-17","Burberry","517","370","Christopher Bailey joins the #Burberry models backstage after the A/W14 show #LFW http://t.co/4AJkJtKbRk","435418822003421184","","-1","-1","en","Twitter for iPhone","47459700","75054","f",
		"76511","2014-02-17 14:31:06.51","2014-02-17","1DUpdatesOnline","171","245","Burberry Harry 2012-2013-2014 http://t.co/IjHYgAYIAc (via @Go1DenUpdates)","435420271043178496","","-1","-1","et","TweetDeck","591661900","76511","f",
		"76575","2014-02-17 14:31:07.082","2014-02-17","Burberry","385","183","The #Burberry Womenswear A/W14 show starts soon - live on @Burberry #LFW http://t.co/3dQizAKtUg","435412084629991424","","-1","-1","en","<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>","47459700","76575","f",
		"77017","2014-02-17 14:31:24.378","2014-02-17","Burberry","567","571","Personalised ponchos for the #Burberry Prorsum A/W14 finale #LFW http://t.co/ka4uvfcN5m","435418256976142338","","-1","-1","en","Twitter for iPhone","47459700","77017","f",
		"77278","2014-02-17 14:31:25.685","2014-02-17","Burberry","388","255","The A/W14 runway look from #Burberry Beauty #LFW http://t.co/Lu1kT7xRRf","435417229174509568","","-1","-1","en","Twitter for iPhone","47459700","77278","f",
		"77973","2014-02-17 14:31:28.649","2014-02-17","Burberry","182","122","Anna Wintour and Bradley Cooper  front row at the #Burberry A/W14 show #LFW http://t.co/sCpfVbWFqK","435416915696439296","","-1","-1","en","Twitter for iPhone","47459700","77973","f",
		"78264","2014-02-17 14:31:29.82","2014-02-17","1DUpdatesOnline","125","125","Harry at the Burberry show #22 http://t.co/cyU2i6zxYE","435419804623589376","","-1","-1","en","TweetDeck","591661900","78264","f",
		"79788","2014-02-17 14:31:43.555","2014-02-17","Go1DenUpdates","80","128","Burberry Harry 2012-2013-2014 http://t.co/UgPtQQ8WGd","435420153367379969","","-1","-1","et","Web","606121144","79788","f",
		"80238","2014-02-17 14:31:45.262","2014-02-17","Burberry","469","260","British musician @PalomaFaith wearing #Burberry Prorsum on the A/W14 red carpet #LFW http://t.co/OePFnpo4LW","435406901678182400","","-1","-1","en","Twitter for iPhone","47459700","80238","f",
		"81391","2014-02-17 14:31:54.078","2014-02-17","Burberry","464","359","Campaign star @Jamiebower arrives at the #Burberry show #LFW http://t.co/Pe9CcjUFFh","435409948357701632","","-1","-1","en","Twitter for iPhone","47459700","81391","f",
		"82322","2014-02-17 14:32:03.775","2014-02-17","Burberry","338","373","British model @Caradelevingne closes the #Burberry show #LFW http://t.co/V3OhT1rhiH","435417722974113792","","-1","-1","en","Twitter for iPhone","47459700","82322","f",
		"84661","2014-02-17 14:32:40.648","2014-02-17","TheCelebCulture","124","134",". @harry_styles on the @Burberry London Fashion Week red carpet #lfw http://t.co/cBQqR3YaJN","435413020705951745","","-1","-1","en","Web","1339629745","84661","f",
		"85178","2014-02-17 14:32:42.198","2014-02-17","Burberry","257","250","Front row at #Burberry with @Harry_Styles, @NaomieHarris and Mario Testino #LFW https://t.co/tzibR47q9z","435413949170077696","","-1","-1","en","<a href="http://vine.co" rel="nofollow">Vine - Make a Scene</a>","47459700","85178","f",
		"85689","2014-02-17 14:32:54.547","2014-02-17","MonicaReilly","164","176","Just met @Harry_Styles at Heathrow Terminal 5! Don't know where he is heading. He wouldn't tell me. Such a nice guy though😍","435400242239143936","","-1","-1","en","Twitter for iPhone","21695035","85689","f",
		"129537","2014-02-17 14:41:52.923","2014-02-17","1DUpdatesOnline","143","128","With legs like his, Harry should be walking the runway.","435423043843006464","","-1","-1","en","TweetDeck","591661900","129537","f",
		"129637","2014-02-17 14:41:53.875","2014-02-17","Burberry","424","382",".@Caradelevingne on the #Burberry A/W14 runway #LFW http://t.co/IGpKLiGyES","435415132030918657","","-1","-1","en","Twitter for iPhone","47459700","129637","f",
		"129885","2014-02-17 14:41:56.673","2014-02-17","Burberry","572","318","Red suede runway shoes - Valentine's gifts for men from the @Burberry accessories collection http://t.co/uKZRt3kKmj http://t.co/Gb3IVawSQ9","433103154159558656","","-1","-1","en","<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>","47459700","129885","f",
		"130613","2014-02-17 14:42:05.123","2014-02-17","1DUpdatesOnline","262","159","Harry at the Burberry show #16 http://t.co/bxHZFPhuYz","435416725111054337","","-1","-1","en","TweetDeck","591661900","130613","f",
		"131139","2014-02-17 14:42:38.593","2014-02-17","1DFAMlLY","195","117","Harry at the Burberry show #5 http://t.co/SAEpYES20Z","435414460618903552","","-1","-1","en","Web","340671834","131139","f",
		"131517","2014-02-17 14:42:47.524","2014-02-17","1DUpdatesOnline","332","224","Harry at the Burberry show #10 http://t.co/gHK84lcuZD","435413691161247744","","-1","-1","en","TweetDeck","591661900","131517","f",
		"132166","2014-02-17 14:42:51.952","2014-02-17","Harry_Styles","103991","72865","These, these, these are my knees. http://t.co/dq47Hpq6Z0","435125872589570048","","-1","-1","en","<a href="http://instagram.com" rel="nofollow">Instagram</a>","181561712","132166","f",
		"132202","2014-02-17 14:42:52.509","2014-02-17","1DUpdatesOnline","341","252","Harry at the Burberry show #9 http://t.co/qlU2daKPiz","435413630880722944","","-1","-1","en","TweetDeck","591661900","132202","f",
		"133859","2014-02-17 14:43:12.887","2014-02-17","1DUpdatesOnline","247","158","Harry at the Burberry show #5 http://t.co/TrN8Eu6sgY","435412509152276481","","-1","-1","en","TweetDeck","591661900","133859","f",
		"133046","2014-02-17 14:43:01.809","2014-02-17","1DUpdatesOnline","191","110","Harry at the Burberry show #6 http://t.co/pz5eJzfXtm","435412598545477632","","-1","-1","en","TweetDeck","591661900","133046","f",
		"133419","2014-02-17 14:43:06.73","2014-02-17","LondonFashionWk","301","285","British musician @Harry_Styles arrives on the @burberry red carpet #LFW http://t.co/BdiGgNdYJ8","435412461681139712","","-1","-1","en","Twitter for iPhone","50627903","133419","f",
		"162571","2014-02-17 14:57:32.281","2014-02-17","Burberry","144","120","A glance backstage during the #Burberry A/W14 show - live now #LFW http://t.co/cQ0upBqW8U","435415323618340864","","-1","-1","en","Twitter for iPhone","47459700","162571","f",
		"162942","2014-02-17 14:58:30.22","2014-02-17","Burberry","363","121","British actress Felicity Jones arrives at the #Burberry A/W14 show #LFW http://t.co/B1HmWVdLFC","435407813918359552","","-1","-1","en","Twitter for iPhone","47459700","162942","f",
