id,time_stamp,created_at,author,favourite_count,re_tweeet_count,text,original_tweet_id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,iso_language_code,source,user_id,conversation_id,stake_holder,
		"135","2014-02-07 17:02:55.265","2014-02-07","busm8","0","0","@trafficscotland Hello","431835467793702912","trafficscotland","-1","20106985","no","Web","1670081198","","f",
		"147","2014-02-07 17:09:03.947","2014-02-07","DatLancedJack","0","0","@ScotRail I can barely contain my anger at the conductor on the 8:36 from Newcraighall this morning. Incredibly rude, threw ticket @ me.","431837015135768576","ScotRail","-1","61569136","en","Twitter for Android","259080683","","f",
		"163","2014-02-07 17:13:02.951","2014-02-07","lindc83","0","0","@ScotRail dejavu from last wk squashed like sardines on the Abz-Edi 5.07, conductor encouraging us to write &complain. Is there any point?😡","431838017146597376","ScotRail","-1","61569136","en","Twitter for iPhone","801330506","","f",
		"191","2014-02-07 17:18:06.291","2014-02-07","roadscot","0","0","M8 J26 W - E Hillington - Queue: 3 lanes restricted Westbound indefinitely http://t.co/YqyGpXqeIX","431839289626722304","","-1","-1","en","<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>","86934802","","t",
		"195","2014-02-07 17:18:12.12","2014-02-07","kiwi2506","0","0","@FirstScotland I hear you are withdrawing the 43!!! How come u r not fighting ur corner?","431839314021208064","FirstScotland","-1","417922146","en","Twitter for iPhone","431246134","","f",
		"199","2014-02-07 17:18:22.961","2014-02-07","trafficscotland","0","0","the winter treatment plan for tonight http://t.co/Gky6BnggDn","431839359692582912","","-1","-1","en","<a href="http://sproutsocial.com" rel="nofollow">Sprout Social</a>","20106985","","t",
		"203","2014-02-07 17:18:43.692","2014-02-07","edintravel","0","0","Cowgate very busy this evening, queues at St Mary's Street / Pleasance junction back to the Grassmarket at the moment #edintravel","431839446783496192","","-1","-1","en","<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>","141165868","","t",
		"215","2014-02-07 17:21:15.228","2014-02-07","trafficscotland","0","0","RT @on_lothianbuses: Heading to Murrayfield tomorrow for @Scotlandteam v England.  Here's all the information you need to get there.  http:…","431840082329624576","","-1","-1","en","Web","20106985","","t",
		"221","2014-02-07 17:21:57.505","2014-02-07","GlasgowRoads","0","0","Glasgow South - Dumbreck Road between Urrdale Road and Nithsdale Road (Ward 5): Dates: These works will take place… http://t.co/b3rWzeGdmM","431840259576311808","","-1","-1","en","<a href="http://www.google.com/" rel="nofollow">Google</a>","56970797","","t",
		"227","2014-02-07 17:21:57.55","2014-02-07","_smileangel","0","0","@FirstinGlasgow your x3 service is the worst. I'm seriously late for work thanks to your pathetic service.","431840259702542336","FirstinGlasgow","-1","110667154","en","Twitter for iPhone","40038118","","f",
		"231","2014-02-07 17:21:57.684","2014-02-07","GlasgowRoads","0","0","Glasgow South - DUMBRECK ROAD - SOUTHBOUND ROAD CLOSURE BETWEEN NITHSDALE ROAD AND MOSSPARK BOULEVARD (WARD 5… http://t.co/SNHT7JG5AW","431840260293541889","","-1","-1","en","<a href="http://www.google.com/" rel="nofollow">Google</a>","56970797","","t",
		"239","2014-02-07 17:24:03.212","2014-02-07","edintravel","0","0","Burdiehouse Road - long queues heading up to Kaimes crossroads #edintravel","431840786549071872","","-1","-1","en","<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>","141165868","","t",
